Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current_Date_Time
TRIBAL INTERN - Data Analyst,Phoenix,$20 / hr,Contractor,"https://www.ziprecruiter.com/c/Central-Arizona-Project/Job/TRIBAL-INTERN-Data-Analyst/-in-Phoenix,AZ?jid=d9df4b57a4a7474f",Central Arizona Project,2023-12-18T00:00:00Z,remote,d9df4b57a4a7474f,2024-02-01T12:36:39Z
Business Analyst Finance,Chicago,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Resource-Logistics/Job/Business-Analyst-Finance/-in-Chicago,IL?jid=28de9a811ab399d2",Resource Logistics,2024-01-18T08:00:00Z,,28de9a811ab399d2,2024-02-01T12:36:39Z
Data Analyst,San Diego,$24 / hr,Contractor,"https://www.ziprecruiter.com/c/Artech-Information-System-LLC/Job/Data-Analyst/-in-San-Diego,CA?jid=950d2cf00803f1b1",Artech Information System LLC,2017-09-08T07:00:00Z,,950d2cf00803f1b1,2024-02-01T12:36:39Z
Sr. Data Analyst,Rockville,$88K - $111K / yr,Contractor,"https://www.ziprecruiter.com/c/RIT-Solutions/Job/Sr.-Data-Analyst/-in-Rockville,MD?jid=8739dd3e2e7afe3b",RIT Solutions,2024-01-31T08:00:00Z,,8739dd3e2e7afe3b,2024-02-01T12:36:39Z
Data Analyst,Minneapolis,$50 / hr,Contractor,"https://www.ziprecruiter.com/c/EA-Team-Inc./Job/Data-Analyst/-in-Minneapolis,MN?jid=68cd85c8f61828a7",EA Team Inc.,2018-12-19T08:00:00Z,,68cd85c8f61828a7,2024-02-01T12:36:39Z
Real World Evidence (RWE) - Data Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Real-World-Evidence-(RWE)-Data-Analyst/-in-Remote,OR?jid=48b94654857cd8b5",Alpha Consulting Corp.,2023-10-25T11:46:03Z,remote,48b94654857cd8b5,2024-02-01T12:36:39Z
Compliance Analyst (eCommerce) - Hybrid,San Jose,$35 - $41.52 / hr,Contractor,"https://www.ziprecruiter.com/c/Intelliswift-Software-Inc/Job/Compliance-Analyst-(eCommerce)-Hybrid/-in-San-Jose,CA?jid=0afa3d6c25e4f3ab",Intelliswift Software Inc,2024-01-10T10:20:17Z,,0afa3d6c25e4f3ab,2024-02-01T12:36:39Z
Hiring for Business Analyst Roles,Chicago,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Beta-oft-Systems-Inc/Job/Hiring-for-Business-Analyst-Roles/-in-Chicago,IL?jid=fe5068bb77c241ea",Beta oft Systems Inc,2020-03-11T00:00:00Z,,fe5068bb77c241ea,2024-02-01T12:36:39Z
Senior Project Analyst,Newport Beach,$45 - $55 / hr,Contractor,"https://www.ziprecruiter.com/c/Peregrine-Team/Job/Senior-Project-Analyst/-in-Newport-Beach,CA?jid=696046f07b3f513b",Peregrine Team,2024-01-12T04:08:22Z,,696046f07b3f513b,2024-02-01T12:36:39Z
Data Analyst IV,Cupertino,$61 - $66 / hr,Contractor,"https://www.ziprecruiter.com/c/MindSource/Job/Data-Analyst-IV/-in-Cupertino,CA?jid=bd445b724c7a0ffb",MindSource,2024-01-22T08:00:00Z,,bd445b724c7a0ffb,2024-02-01T12:36:39Z
